"participant_id","group","lon","lat","income_bracket"
83,"control",-58.4121426128826,-34.6274016295574,2
84,"control",-58.4948755618072,-34.6019438439478,5
85,"treatment",-58.5019951922677,-34.6019651466639,8
86,"treatment",-58.5179804540813,-34.660900883221,3
87,"treatment",-58.4540379629995,-34.5987291072283,3
88,"control",-58.4956491594818,-34.5872111986602,4
89,"treatment",-58.4243807837519,-34.579542813685,9
90,"control",-58.4261038486289,-34.5975631956283,5
91,"control",-58.432908043871,-34.5845063006042,7
92,"treatment",-58.4952619800437,-34.5651458599952,4
93,"control",-58.5014021922957,-34.5655482951656,7
94,"treatment",-58.4330114076966,-34.6463804525561,1
95,"treatment",-58.4992983174262,-34.6596583565506,1
96,"treatment",-58.4821928112041,-34.5944956098174,8
97,"control",-58.4548649171864,-34.5504442613384,10
98,"treatment",-58.3718000873473,-34.5823591611005,2
99,"treatment",-58.4230865206496,-34.620423203017,4
100,"treatment",-58.4523503630648,-34.5436620294031,9
101,"treatment",-58.4168023700514,-34.6079335048262,6
102,"control",-58.4509997850453,-34.6213584535936,6
103,"control",-58.4793120059948,-34.5958873790516,8
104,"treatment",-58.493629179686,-34.5716386339323,7
105,"treatment",-58.4390694976544,-34.6609430400937,1
106,"treatment",-58.4975163894844,-34.6202118617138,4
107,"control",-58.3788356212772,-34.6405770240441,1
108,"control",-58.3880291575424,-34.6124266555506,4
109,"treatment",-58.4653168157504,-34.6812524711767,2
110,"control",-58.4411025250277,-34.6614956828594,1
111,"treatment",-58.4560577774964,-34.5716317020272,9
112,"treatment",-58.4319487210172,-34.5802032603193,8
113,"treatment",-58.4092516325004,-34.599348472183,7
114,"control",-58.4340548020392,-34.6087355773527,7
115,"treatment",-58.4187088547517,-34.6283264892128,3
116,"treatment",-58.424861306547,-34.6197173542633,7
117,"control",-58.4284837257981,-34.6637846990919,2
118,"control",-58.4055896487013,-34.6213364788553,2
119,"control",-58.4259943959926,-34.6543708810598,2
120,"treatment",-58.4597064089643,-34.5619618191741,8
121,"treatment",-58.4840795871702,-34.5851704745386,6
122,"control",-58.5064941427362,-34.5709314022869,4
123,"control",-58.5055112774095,-34.6367621853541,4
124,"control",-58.4048379149472,-34.6166743013619,4
125,"control",-58.4225997574296,-34.5929166268117,4
126,"treatment",-58.4919142636156,-34.5934639453247,5
127,"treatment",-58.4098784454289,-34.6193405050109,3
128,"treatment",-58.3617958533343,-34.6325543492641,1
129,"control",-58.47816236563,-34.6064597324364,4
130,"control",-58.3850791221095,-34.6292004134745,2
131,"treatment",-58.4877418519653,-34.586250931406,5
132,"control",-58.4920014637445,-34.5711388703874,6
133,"control",-58.5226367702719,-34.6433345459133,4
134,"control",-58.4366365106571,-34.6155113592531,8
135,"control",-58.4783258621395,-34.6400468912785,3
136,"control",-58.4282344278798,-34.598568600988,8
137,"control",-58.4774247726575,-34.580298970926,5
138,"control",-58.4897689459949,-34.6254217670934,3
139,"treatment",-58.5277026777674,-34.6244669991636,3
140,"control",-58.5029375804311,-34.6616990395045,1
141,"control",-58.4621988968658,-34.6226998209886,4
142,"control",-58.507652142755,-34.6253677363145,4
143,"control",-58.3741563378491,-34.6392319471976,5
144,"control",-58.5223929378922,-34.6532939055957,2
145,"control",-58.4389409656157,-34.5662428244071,10
146,"treatment",-58.3992605285739,-34.6395884726177,2
147,"treatment",-58.474615483163,-34.6758432834369,2
148,"control",-58.4796989993864,-34.6413940862498,2
149,"treatment",-58.5073093106576,-34.656364866529,2
150,"treatment",-58.4625982586607,-34.6840353293764,1
151,"treatment",-58.4302163117958,-34.6408117536835,4
152,"treatment",-58.4543318331517,-34.6033447984051,4
153,"control",-58.4074116747705,-34.5913886236085,10
154,"control",-58.5213233485088,-34.601684518885,9
155,"control",-58.4265632651737,-34.6022010026873,9
156,"control",-58.372938078052,-34.618064408941,6
157,"treatment",-58.4808676710367,-34.6828464333035,2
158,"treatment",-58.4354558058965,-34.5670818241817,10
159,"treatment",-58.4734168433307,-34.6353042394702,6
160,"treatment",-58.4320203044327,-34.5903276919442,9
161,"treatment",-58.497473219462,-34.6596594442901,1
162,"control",-58.4145914790089,-34.5964319838204,9
163,"treatment",-58.4328207909299,-34.604851929357,7
164,"control",-58.503960470807,-34.6526140967458,1
165,"treatment",-58.3692534213349,-34.64678365869,3
166,"treatment",-58.4758776189241,-34.5577003601532,8
167,"control",-58.5095597378755,-34.6649475394645,1
168,"treatment",-58.4650518702179,-34.6538511353441,1
169,"treatment",-58.4434283490936,-34.5923551467092,5
170,"treatment",-58.416310083745,-34.6262387190434,4
171,"treatment",-58.4338212151017,-34.598857747819,8
172,"control",-58.452361656323,-34.6119891828811,6
173,"control",-58.4791718818436,-34.5775249214347,6
174,"treatment",-58.5082786868472,-34.662678388445,1
175,"treatment",-58.4403652415844,-34.6255855733412,9
176,"treatment",-58.3789911163003,-34.6114777109579,7
177,"treatment",-58.4783431593717,-34.6891863902353,1
178,"treatment",-58.411368055439,-34.6167525618489,2
179,"control",-58.3820491564088,-34.6513288024508,2
180,"treatment",-58.4117578909765,-34.6469989146468,1
181,"treatment",-58.3724342392423,-34.6392401455953,5
182,"control",-58.4656229755693,-34.5984180340021,2
183,"control",-58.5078551325802,-34.6035440846326,6
184,"treatment",-58.4416049316884,-34.6558902478308,1
185,"treatment",-58.4419526729907,-34.6371973851183,6
186,"control",-58.5122920162994,-34.6406956962837,6
187,"control",-58.5201948641164,-34.6103760897852,6
188,"control",-58.4920692279486,-34.6008424740266,5
189,"treatment",-58.4203480621977,-34.5838374989219,9
190,"control",-58.4704068729385,-34.6032961594449,4
191,"treatment",-58.4066283383859,-34.5947349836225,9
192,"treatment",-58.4914164820336,-34.627674421313,5
193,"control",-58.4384756251579,-34.59614899941,5
194,"control",-58.379291544794,-34.6479272181497,1
195,"control",-58.4849253869974,-34.6258270474582,3
196,"control",-58.4072602031846,-34.6001553648829,7
197,"control",-58.4910587659717,-34.6524307285798,2
198,"control",-58.3623802688392,-34.6418729790973,1
199,"treatment",-58.4291805049097,-34.6430763371435,2
200,"treatment",-58.3732710244401,-34.6127459590885,8
201,"control",-58.4451806823511,-34.6030555056559,7
202,"treatment",-58.4212185367492,-34.6183987018625,7
203,"treatment",-58.3872439022618,-34.6289752205045,1
204,"treatment",-58.3697802766628,-34.6285515630514,8
205,"control",-58.4491966386474,-34.5838221959584,4
206,"control",-58.4077090977055,-34.623627153351,2
207,"treatment",-58.4466801469691,-34.6223263230547,8
208,"control",-58.4621497719493,-34.5986161635412,2
209,"treatment",-58.4069343898515,-34.6143441157711,3
210,"treatment",-58.4897616408989,-34.6088240153591,5
211,"control",-58.4957446476312,-34.6011218921621,6
212,"control",-58.4748647384223,-34.5793432110929,8
213,"control",-58.4356514031004,-34.6230180672661,8
214,"treatment",-58.3938207076901,-34.5826440346781,10
215,"control",-58.4600180853683,-34.5760677399543,6
216,"control",-58.4843848775144,-34.6299009991071,6
217,"control",-58.4767014736862,-34.5974324425947,2
218,"control",-58.5023681527894,-34.6316318056241,3
219,"control",-58.4336402148467,-34.5899531741032,7
220,"control",-58.4899021052392,-34.6531406188067,3
221,"treatment",-58.4370058633768,-34.6419276251557,2
222,"treatment",-58.4258637490991,-34.5863784184438,5
223,"control",-58.5163576997557,-34.612413477001,5
224,"treatment",-58.5146059544149,-34.6020914910632,7
225,"treatment",-58.4021038929189,-34.6576706798373,1
226,"treatment",-58.5174018000398,-34.5983288104189,7
227,"treatment",-58.4856965182309,-34.6260535065161,3
228,"control",-58.4151884246444,-34.6577910428906,1
229,"control",-58.4814173719255,-34.6669449822607,2
230,"control",-58.4458839324393,-34.5462348520807,10
231,"treatment",-58.4430585204223,-34.6649501137502,1
232,"treatment",-58.466845134117,-34.6867927779819,2
233,"treatment",-58.49682859671,-34.6052973164781,5
234,"treatment",-58.3749265262087,-34.6493502622043,2
235,"treatment",-58.4011302017818,-34.607544294665,7
236,"control",-58.4468118538785,-34.6214011411886,8
237,"control",-58.4513173686278,-34.5589159392389,10
238,"treatment",-58.3893640841353,-34.6224533432371,1
239,"treatment",-58.508729449017,-34.6130391223174,5
240,"treatment",-58.4605192039094,-34.5741917087101,9
241,"treatment",-58.4373202201191,-34.5762056006032,9
242,"control",-58.4061419546029,-34.595222870286,9
243,"treatment",-58.4112476880185,-34.6562669339542,1
244,"control",-58.4615139991699,-34.6514771559456,1
245,"control",-58.4032549210481,-34.6375645821615,3
246,"treatment",-58.4072070363306,-34.5754213774216,10
247,"control",-58.4266511466037,-34.5922833427679,6
248,"control",-58.378952816275,-34.6460000895656,1
249,"control",-58.3973045205783,-34.6589628004514,1
250,"control",-58.4166118152066,-34.6223250845007,4
251,"control",-58.4222940386084,-34.5836574892993,10
252,"treatment",-58.4292783599757,-34.6110817245306,6
253,"control",-58.4825462967136,-34.5765506926648,9
254,"control",-58.3633711329635,-34.6281658982172,4
255,"control",-58.484377782102,-34.5687709417485,6
256,"control",-58.4642930809014,-34.5544313317238,8
257,"treatment",-58.4426017672807,-34.5610918054422,6
258,"control",-58.4770156991205,-34.639357824361,3
259,"control",-58.4480540138748,-34.5971163284074,2
260,"treatment",-58.4832201215097,-34.6206488226755,5
261,"control",-58.4663401454787,-34.6055133114071,5
262,"control",-58.5242562331468,-34.6416182867961,4
263,"treatment",-58.4782350499546,-34.558597911741,7
264,"control",-58.4140320861224,-34.6485123151936,2
265,"treatment",-58.4079667992211,-34.5903662691083,10
266,"control",-58.4228184766957,-34.6433100252362,2
267,"treatment",-58.3997601993149,-34.6349298471411,5
268,"treatment",-58.468068511679,-34.5379317359701,10
269,"treatment",-58.3976219151847,-34.6416951630914,1
270,"control",-58.4354553850846,-34.648135586382,1
271,"treatment",-58.4614123634181,-34.6188232716238,9
272,"control",-58.4324948361758,-34.5977419111923,9
273,"treatment",-58.4865759475767,-34.5807947821602,8
274,"control",-58.4320002663848,-34.6623413133577,2
275,"treatment",-58.469592668438,-34.5566700530666,7
276,"control",-58.4927682652222,-34.6802623230968,1
277,"treatment",-58.4796814854877,-34.6188834374378,6
278,"treatment",-58.508828062315,-34.5957787513192,9
279,"treatment",-58.5049454153523,-34.6401504350735,6
280,"control",-58.5229874656852,-34.6380386284326,2
281,"treatment",-58.468890429366,-34.6219423650219,3
282,"treatment",-58.4049930138791,-34.6251686378241,3
283,"control",-58.4229060249194,-34.6396902505844,3
284,"control",-58.3983416142596,-34.6223476158447,3
285,"treatment",-58.4975752123781,-34.6601239225002,1
286,"treatment",-58.4891569676699,-34.6010784712497,8
287,"control",-58.3631106604539,-34.6364604773237,1
288,"treatment",-58.5229919916005,-34.61034392974,4
289,"control",-58.4307195250461,-34.6620267773829,1
290,"control",-58.5124262384891,-34.6277406857167,4
291,"control",-58.4841885629317,-34.5782985497761,8
292,"control",-58.4484460060834,-34.6085336020901,7
293,"control",-58.3758570012932,-34.6291977763396,2
294,"control",-58.3926349131759,-34.6445836700009,1
295,"treatment",-58.4468980251732,-34.5765351714461,8
296,"control",-58.4469767574954,-34.612313222178,7
297,"control",-58.3726096381157,-34.6107464429472,5
298,"treatment",-58.4884777803509,-34.6691662420855,1
299,"treatment",-58.4366946087479,-34.6106861083543,7
300,"treatment",-58.4708817882923,-34.6537549247105,1
301,"treatment",-58.4802465293575,-34.6524944811418,2
302,"control",-58.4089562857341,-34.6311945832201,5
303,"control",-58.437627590605,-34.64710471169,1
304,"control",-58.3800066681111,-34.6258524289868,3
305,"control",-58.4518622396503,-34.5662459154918,10
306,"control",-58.4159872060628,-34.6090483386453,3
307,"control",-58.3862734097528,-34.6282650785517,1
308,"control",-58.3938811241792,-34.6184478612014,6
309,"treatment",-58.4773443940481,-34.6815765389857,3
310,"treatment",-58.4649078097135,-34.5745440942722,10
311,"control",-58.4352255547944,-34.587806824313,4
312,"treatment",-58.4290485669269,-34.6438479747645,1
313,"control",-58.4046040632666,-34.6184761856442,3
314,"treatment",-58.5154143540304,-34.6118691753496,5
315,"control",-58.4678659376494,-34.6377829018126,4
316,"control",-58.4891145635444,-34.5744157433563,6
317,"control",-58.473698597944,-34.6929816362196,1
318,"control",-58.5142717877685,-34.6287933070785,2
319,"treatment",-58.4745492287611,-34.6486808379836,2
320,"treatment",-58.4440606965458,-34.6590380387929,1
321,"control",-58.4685012868077,-34.5980131925858,1
322,"control",-58.4356516229772,-34.569110119924,10
323,"treatment",-58.4737939482038,-34.631273264603,1
324,"treatment",-58.4905520988612,-34.6321952472787,3
325,"treatment",-58.4780405974828,-34.5856986205704,3
326,"control",-58.4863661163674,-34.5918776611623,5
327,"treatment",-58.4862211539625,-34.6046095894978,5
328,"treatment",-58.4681606533984,-34.6015980391105,3
329,"control",-58.3685801265868,-34.6297342670436,3
330,"control",-58.4172976435365,-34.6268308757445,4
331,"control",-58.4993588095218,-34.6472302042642,4
332,"treatment",-58.4670415499899,-34.608237363408,8
333,"treatment",-58.4298257068298,-34.6062200445076,8
334,"treatment",-58.4449412230285,-34.5955560587227,5
335,"treatment",-58.4171704375811,-34.5946967714741,9
336,"treatment",-58.4435154046311,-34.6225752064844,8
337,"control",-58.4785993201041,-34.6128507342545,4
338,"control",-58.4664670506936,-34.6460349519954,2
339,"control",-58.4730841714776,-34.6067001891123,4
340,"treatment",-58.4884648292077,-34.5998786293182,6
341,"treatment",-58.4766092470901,-34.6746734456186,2
342,"control",-58.513548099809,-34.6534390180482,3
343,"treatment",-58.5239217753913,-34.6082733537272,4
344,"treatment",-58.4298888822336,-34.6650390648803,2
345,"treatment",-58.4891398680017,-34.5728703611772,6
346,"control",-58.3823852694007,-34.580649528767,1
347,"treatment",-58.3859252509293,-34.6247222816911,2
348,"control",-58.4444097868863,-34.5655695473451,10
349,"control",-58.4951692290178,-34.5697076445597,7
350,"control",-58.5202292433191,-34.6456482945251,3
351,"treatment",-58.4563215005634,-34.6128508599552,7
352,"control",-58.4559809371423,-34.5796730062744,8
353,"treatment",-58.3618867282035,-34.63105514667,2
354,"control",-58.3885915498074,-34.6210322161961,2
355,"treatment",-58.4245745206508,-34.5776117593322,10
356,"treatment",-58.4445328909086,-34.5906480739889,3
357,"control",-58.4433430160518,-34.6230643350724,9
358,"treatment",-58.4749168026013,-34.5997402676631,1
359,"treatment",-58.503423464505,-34.6136767864836,3
360,"control",-58.4860825272131,-34.6807447464295,1
361,"treatment",-58.4420103787223,-34.6670829501653,1
362,"control",-58.5007719446493,-34.662227253914,1
363,"treatment",-58.3836800120664,-34.6027084159451,8
364,"treatment",-58.3839770784389,-34.591741941902,10
365,"control",-58.3878721535196,-34.6232402176139,2
366,"treatment",-58.4337989873149,-34.6199023202761,8
367,"treatment",-58.5256115850902,-34.6142031094511,4
368,"control",-58.4158479381029,-34.6496442748725,1
369,"control",-58.4848150542919,-34.5584789660674,6
370,"control",-58.4725071311772,-34.5633172815782,10
371,"treatment",-58.4346362565709,-34.6080336515309,7
372,"treatment",-58.4292592830613,-34.5900876341946,8
373,"control",-58.426955507879,-34.6210232022358,8
374,"control",-58.3793176828891,-34.6389791879375,1
375,"treatment",-58.3977063067973,-34.6421131761513,1
376,"treatment",-58.4368508986826,-34.6389305568199,3
377,"control",-58.4395222112663,-34.5925781500768,4
378,"control",-58.4720249612923,-34.5486018773434,10
379,"treatment",-58.5082443758268,-34.6055425311044,5
380,"control",-58.411713463013,-34.6246056683657,5
381,"treatment",-58.4692250322345,-34.5438377742285,9
382,"treatment",-58.4642242123369,-34.6350188628045,3
383,"treatment",-58.365523542746,-34.6269431050423,7
384,"treatment",-58.3857659504597,-34.6042192585504,3
385,"control",-58.4178923974266,-34.6180922558171,3
386,"treatment",-58.4509795253148,-34.5849969738311,7
387,"control",-58.4248266062575,-34.6152050093208,9
388,"control",-58.4014701364731,-34.6066850168109,4
389,"treatment",-58.4882236872795,-34.6450933770121,1
390,"control",-58.5189981402104,-34.6405649448438,4
391,"control",-58.4717050954693,-34.5645190805089,10
392,"treatment",-58.4140484612684,-34.6546397945711,1
393,"control",-58.4216278309255,-34.6582438803522,1
394,"control",-58.4272482727879,-34.5955057803158,6
395,"control",-58.4303375222849,-34.6675216965672,2
396,"control",-58.4404700213061,-34.6357220364419,6
397,"treatment",-58.4684171193258,-34.5525622829378,10
398,"treatment",-58.4659899387787,-34.6053292918543,5
399,"treatment",-58.4992004234734,-34.6152715296904,5
400,"control",-58.3995989564327,-34.6441684892457,1
401,"treatment",-58.4668545800325,-34.6443906148061,1
402,"treatment",-58.4141296709473,-34.5946196678925,8
403,"control",-58.4716010061584,-34.5749252846201,4
404,"control",-58.4094660960521,-34.6528266493037,1
405,"treatment",-58.4674344486337,-34.5527799684857,10
406,"control",-58.4097391263424,-34.6570151060843,1
407,"control",-58.4592702698283,-34.5453083114708,9
408,"treatment",-58.5116784786106,-34.6150900277601,3
409,"control",-58.4415195760128,-34.6367727292236,6
410,"treatment",-58.3844217386753,-34.630056409028,1
411,"treatment",-58.5028411474815,-34.6642739009532,1
412,"control",-58.3702123312023,-34.6481407748192,2
413,"treatment",-58.4520761501991,-34.5952135428262,1
414,"treatment",-58.4003924522991,-34.6051506848201,6
415,"treatment",-58.4833026925469,-34.5695423444501,6
416,"control",-58.4175490222386,-34.6089340471825,5
417,"treatment",-58.4932044058832,-34.5602429476875,7
418,"treatment",-58.3772072108716,-34.6421603519136,2
419,"treatment",-58.4786587786703,-34.5700321940868,5
420,"treatment",-58.4494376136715,-34.5747880835486,8
421,"control",-58.4297231021592,-34.6564336198518,1
422,"control",-58.4508583948064,-34.5636409319567,10
423,"control",-58.4738074718134,-34.5599518996162,7
424,"control",-58.4028851322266,-34.5897448378999,10
425,"treatment",-58.460696846257,-34.6525236025568,1
426,"treatment",-58.4854422204923,-34.6524105861144,2
427,"control",-58.4428148167824,-34.5706167642072,9
428,"treatment",-58.3976521720277,-34.6393722996452,1
429,"control",-58.5066469620761,-34.6146348729227,2
430,"control",-58.4745156028945,-34.6532326238708,2
431,"treatment",-58.4577047214849,-34.6250548993858,5
432,"control",-58.5069702710846,-34.5740489118495,3
433,"treatment",-58.4887568693538,-34.5475920725525,2
434,"treatment",-58.4518509833928,-34.5469489635202,8
435,"control",-58.4986782420232,-34.6523588528635,3
436,"control",-58.5158473160885,-34.615105832348,2
437,"control",-58.3660779360931,-34.6465690133357,1
438,"treatment",-58.4872657986616,-34.5697271781905,9
439,"treatment",-58.4598988857951,-34.5529324214682,9
440,"treatment",-58.4774056080172,-34.5509200123614,6
441,"control",-58.3936033919999,-34.6513548768052,2
442,"treatment",-58.4367710139633,-34.6014549987964,8
443,"control",-58.4907750584716,-34.6178269449993,5
444,"treatment",-58.3871074513259,-34.6549620045856,2
445,"control",-58.3633849006889,-34.6400295358356,1
446,"treatment",-58.4485887970088,-34.6040262627781,6
447,"control",-58.4538289235715,-34.5596693130089,9
448,"treatment",-58.4685813520355,-34.5747700512705,10
449,"control",-58.4460240217168,-34.5660599920971,10
450,"control",-58.3865266057396,-34.6347139391012,1
451,"treatment",-58.5044121323891,-34.643715330403,6
452,"control",-58.4348950894951,-34.6531874730921,1
453,"treatment",-58.4012352248569,-34.6337079034561,2
454,"treatment",-58.3780206312557,-34.6473583824179,1
455,"treatment",-58.4183631867286,-34.6559349630394,1
456,"treatment",-58.4673168736771,-34.688697478449,2
457,"control",-58.4657382072463,-34.5882752276606,3
458,"treatment",-58.5245835541953,-34.635472117444,2
459,"control",-58.4674579330373,-34.616040777569,5
460,"control",-58.3872577625289,-34.6040846171306,7
461,"treatment",-58.4599483159066,-34.6107209576869,4
462,"treatment",-58.478731739697,-34.5810444614906,6
463,"treatment",-58.4919254810265,-34.6594182195263,2
465,"control",-58.4379682814415,-34.6515046030739,1
466,"treatment",-58.392125747921,-34.5959410259786,8
467,"treatment",-58.4768574259601,-34.5581214372425,7
468,"treatment",-58.4371558534527,-34.6398417229021,3
469,"control",-58.3725163088046,-34.6442257251662,5
470,"control",-58.4092456517219,-34.5967162393338,9
471,"control",-58.4355676798668,-34.6666424360213,2
472,"control",-58.3800238559868,-34.6373462848982,3
473,"control",-58.438904935591,-34.5833785360297,7
474,"treatment",-58.5125401384646,-34.6239403914945,2
475,"control",-58.47421915859,-34.6862460974109,4
476,"treatment",-58.427141325961,-34.6514936811875,1
477,"control",-58.4427839690529,-34.5853776882893,4
478,"control",-58.4611860399609,-34.5749254965062,9
479,"treatment",-58.5218175605333,-34.6014613437699,7
480,"control",-58.4362944943794,-34.5912062880345,4
481,"treatment",-58.4096885690762,-34.6354455373184,4
482,"control",-58.3812694793543,-34.6032624417209,8
483,"treatment",-58.4600910078694,-34.5515325444794,9
484,"control",-58.472429510158,-34.6894265655416,4
485,"treatment",-58.4314840061991,-34.6348041460946,2
486,"treatment",-58.3728014116537,-34.6098471514986,1
487,"treatment",-58.5085577124032,-34.6369511475973,3
488,"control",-58.4411549886691,-34.6024186968899,7
489,"control",-58.4369627015009,-34.6626385770239,2
490,"treatment",-58.4189095201187,-34.6522366606741,2
491,"control",-58.4365790672207,-34.6024514225467,6
492,"treatment",-58.3696451680232,-34.6320890153259,3
493,"treatment",-58.4784844274524,-34.558487521041,7
494,"treatment",-58.3953122182162,-34.5914297758402,9
495,"treatment",-58.4211865271117,-34.5984271883048,5
496,"control",-58.4124606910776,-34.6019281860656,2
497,"control",-58.4804502988445,-34.6825385225218,2
498,"treatment",-58.4767981062065,-34.5895159187484,2
499,"treatment",-58.4959414683038,-34.5686525549227,4
500,"control",-58.4190088184902,-34.6241363346434,5
501,"control",-58.4278350092998,-34.5978354708282,5
502,"treatment",-58.4619415606611,-34.6383836633786,2
503,"treatment",-58.4802818111027,-34.5988376775664,8
504,"treatment",-58.3787838353653,-34.6344031156704,3
505,"treatment",-58.4248243376614,-34.6009273196312,6
506,"treatment",-58.4670559075984,-34.6150778952759,4
507,"treatment",-58.477288561985,-34.5803136063738,5
508,"control",-58.3706854562794,-34.636999308818,4
509,"treatment",-58.4416266246515,-34.5913649104054,5
510,"control",-58.3906321705365,-34.6240352825888,1
511,"treatment",-58.4707150155416,-34.5838938700672,4
512,"control",-58.4634214458063,-34.5701813798202,10
513,"treatment",-58.4426837052139,-34.5867991086492,5
514,"treatment",-58.5201273030145,-34.6432677282185,3
515,"treatment",-58.5108572367671,-34.6438365000072,3
516,"control",-58.4151062394652,-34.6352532795399,2
517,"control",-58.4939987791702,-34.6159241172171,5
518,"treatment",-58.4219973548032,-34.5936549989107,4
519,"control",-58.4313905130337,-34.6559907712863,1
520,"control",-58.4917470731431,-34.5736134868994,7
521,"treatment",-58.3807209678632,-34.6503224368088,2
522,"treatment",-58.4831915343101,-34.6527655408743,1
523,"control",-58.4476234410861,-34.6459329888817,1
524,"control",-58.4224963345314,-34.5763095082752,10
525,"treatment",-58.4833151622003,-34.6039293896425,6
526,"treatment",-58.4927984998328,-34.6143758953437,4
527,"treatment",-58.4616750961766,-34.6397921854559,4
528,"control",-58.3958161093565,-34.5891276873803,10
529,"control",-58.4294967532189,-34.6548244571432,1
530,"treatment",-58.4447158017525,-34.5544921497702,8
531,"control",-58.504129685238,-34.6467075824744,3
532,"control",-58.4707468373668,-34.555023822765,8
533,"control",-58.464389066031,-34.6842359513654,1
534,"treatment",-58.4697370456952,-34.603943158626,4
535,"control",-58.4829288885152,-34.6110344449325,3
536,"control",-58.4551448580465,-34.6214546865625,6
537,"treatment",-58.4878305929176,-34.551544932011,3
538,"treatment",-58.4741329301891,-34.6636206244605,1
539,"treatment",-58.4033114949296,-34.5907412224125,10
541,"control",-58.4908226358629,-34.5938195868323,8
542,"treatment",-58.4655277207807,-34.6883666805878,2
